test,time,generation,fitness,words
input1.txt,0.079,0,0,3
input10.txt,0.199,12,0,3
input11.txt,0.056,1,0,3
input12.txt,0.145,8,0,3
input2.txt,0.089,8,0,3
input3.txt,0.118,19,0,3
input4.txt,0.06,15,0,3
input5.txt,0.136,55,0,3
input6.txt,0.085,35,0,3
input7.txt,0.021,0,0,3
input8.txt,0.015,0,0,3
input9.txt,0.018,0,0,3
input13.txt,0.384,130,0,4
input14.txt,0.075,26,0,4
input15.txt,0.113,59,0,4
input16.txt,0.155,104,0,4
input17.txt,0.201,125,0,4
input18.txt,0.17,143,0,4
input19.txt,0.063,33,0,4
input20.txt,0.056,30,0,4
input21.txt,0.166,93,0,4
input22.txt,0.061,53,0,4
input23.txt,0.155,111,0,4
input24.txt,0.108,89,0,4
input25.txt,0.247,214,0,5
input26.txt,2.07,2389,0,5
input27.txt,0.074,64,0,5
input28.txt,0.142,87,0,5
input29.txt,0.087,71,0,5
input30.txt,0.148,123,0,5
input31.txt,0.209,186,0,5
input32.txt,0.053,40,0,5
input33.txt,0.163,128,0,5
input34.txt,0.134,121,0,5
input35.txt,0.19,148,0,5
input36.txt,0.084,57,0,5
input37.txt,1.421,1419,0,6
input38.txt,3.017,3102,0,6
input39.txt,0.676,760,0,6
input40.txt,0.794,936,0,6
input41.txt,4.371,5452,0,6
input42.txt,0.659,736,0,6
input43.txt,4.51,5835,0,6
input44.txt,0.673,800,0,6
input45.txt,0.359,357,0,6
input46.txt,5.782,7629,0,6
input47.txt,0.213,211,0,6
input48.txt,0.166,191,0,6
input49.txt,0.738,685,0,7
input50.txt,0.463,385,0,7
input51.txt,8.091,8815,0,7
input52.txt,2.476,2764,0,7
input53.txt,23.66,24119,0,7
input54.txt,3.128,2192,0,7
input55.txt,0.717,540,0,7
input56.txt,0.798,566,0,7
input57.txt,8.88,7429,0,7
input58.txt,6.547,5535,0,7
input59.txt,4.977,3960,0,7
input60.txt,5.92,4595,0,7
input61.txt,8.292,6468,0,8
input62.txt,1.896,1371,0,8
input63.txt,2.425,1578,0,8
input64.txt,12.955,10583,0,8
input65.txt,8.181,6711,0,8
input66.txt,92.737,75853,0,8
input67.txt,22.664,21491,0,8
input68.txt,12.298,11889,0,8
input69.txt,13.436,12183,0,8
input70.txt,2.65,2508,0,8
input71.txt,9.973,9400,0,8
input72.txt,3.121,2810,0,8
input73.txt,41.46,30951,0,9
input74.txt,101.0,67583,0,9
input75.txt,3.055,1312,0,9
input76.txt,22.699,13375,0,9
input77.txt,66.797,34724,0,9
input78.txt,92.216,57199,0,9
input79.txt,294.001,179514,-2,9
input80.txt,109.915,69381,0,9
input81.txt,2.41,1498,0,9
input82.txt,8.427,5252,0,9
input83.txt,15.497,9166,0,9
input84.txt,27.378,16509,0,9
input85.txt,98.725,52249,0,10
input86.txt,47.901,26367,0,10
input87.txt,163.699,88568,0,10
input88.txt,294.002,140185,-13,10
input89.txt,7.771,3879,0,10
input90.txt,294.002,156598,-3,10
input91.txt,40.285,22282,0,10
input92.txt,294.005,160414,-4,10
input93.txt,29.884,15966,0,10
input94.txt,20.163,10481,0,10
input95.txt,212.662,118699,0,10
input96.txt,294.0,161536,-4,10
